YearID,League Name,LeagueAbbrev,Bbref Lg ID,Level Name,Level,LevelsBelowMLB,num_division_subleague_1,name_sl1,name_div_1_sl1,name_div_2_sl1,name_div_3_sl1,name_div_4_sl1,num_divisions_subleague_2,name_sl2,name_div_1_sl2,name_div_2_sl2,name_div_3_sl2,name_div_4_sl2,GamesScheduled,SeasonFormat,PlayoffFormat,DHused,ActivePlayerLimit,UniqueID,Season Length,Have Schedule,Done Schedule,NegroLeague,ReserveRosterLimit
1991,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
1992,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
1993,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
1994,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
1995,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
1996,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
1997,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
1998,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
1999,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2000,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2001,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2002,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2003,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2004,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2005,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2006,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2007,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2008,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2009,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2010,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2011,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2012,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2013,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2014,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2015,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2016,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2017,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2018,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2019,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2020,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2021,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2022,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2023,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
2024,Korean Futures League,KFL,,Fufures,KFL,1,1,KFL,KFL,,,,,,,,,,100,,,,25,,180,,,,
